student_id,full_name,course_code,course_name,year,semester,metu_credit,ects_credit,letter_grade
2587000,İrem Yıldız,3610102,TUR102 TURKISH II,2,4,0(2-0),2.0,DD
2587000,İrem Yıldız,3550280,CNG280 FORMAL LANGUAGES AND ABSTRACT MACHINES,2,4,3(3-0),6.0,AA
2587000,İrem Yıldız,3550232,CNG232 LOGIC DESIGN,2,4,4(3-2),7.0,DC
2587000,İrem Yıldız,3550315,CNG315 ALGORITHMS,3,5,3(3-0),6.0,AA
2587000,İrem Yıldız,3550315,CNG315 ALGORITHMS,3,5,3(3-0),6.0,DD
2587000,İrem Yıldız,3620201,HST201,3,5,0(2-0),2.0,BB
2587000,İrem Yıldız,3870301,OCHS301 OCCUPATIONAL HEALTH AND SAFETY - II,3,5,0(0-0),2.0,BB
2587000,İrem Yıldız,3590311,ENGL311 ADVANCED COMMUNICATION SKILLS,3,5,3(3-0),4.0,DD
2587000,İrem Yıldız,3620202,HST202,3,6,0(2-0),2.0,CC
2587000,İrem Yıldız,3550350,CNG350 SOFTWARE ENGINEERING,3,6,3(3-0),5.5,CB
2587000,İrem Yıldız,3550384,CNG384 SIGNALS AND SYSTEMS FOR COMPUTER ENGINEERS,3,6,3(3-0),5.0,DC
2587000,İrem Yıldız,3550336,CNG336 INTRODUCTION TO EMBEDDED SYSTEMS DEVELOPMENT,3,6,4(3-2),5.5,AA
2587000,İrem Yıldız,3550334,CNG334 INTRODUCTION TO OPERATING SYSTEMS,3,6,3(3-0),5.5,DC
2587000,İrem Yıldız,3550400,CNG400 SUMMER PRACTICE II,4,7,0(0-0),2.0,DC
2587000,İrem Yıldız,3550491,CNG491 COMPUTER ENGINEERING DESIGN I,4,7,3(2-2),7.0,CB
2587000,İrem Yıldız,3550435,CNG435 DATA COMMUNICATIONS AND COMPUTER NETWORKING,4,7,3(3-0),6.0,CC
2587000,İrem Yıldız,3550492,CNG492 COMPUTER ENGINEERING DESIGN II,4,8,3(1-4),7.0,BA
2587001,Ali Doğan,3600107,CHM107 GENERAL CHEMISTRY,1,1,4(3-2),6.0,CC
2587001,Ali Doğan,3550100,CNG100 INTRODUCTION TO INFORMATION TECH. AND APPLICATIONS,1,1,0(2-0),1.0,DD
2587001,Ali Doğan,3550101,CNG101 COMPUTER ENGINEERING ORIENTATION,1,1,0(2-0),1.0,CC
2587001,Ali Doğan,3570119,MAT119 CALCULUS WITH ANALYTIC GEOMETRY,1,1,5(4-2),7.5,BA
2587001,Ali Doğan,3550111,CNG111 INTRODUCTION TO COMPUTER ENG. CONCEPTS,1,1,4(3-2),4.0,CC
2587001,Ali Doğan,3570120,MAT120 CALCULUS FOR FUNCTIONS OF SEVERAL VARIABLES,1,2,5(4-2),7.5,BB
2587001,Ali Doğan,3870101,OCHS101 OCCUPATIONAL HEALTH AND SAFETY-I,1,2,0(0-0),2.0,CB
2587001,Ali Doğan,3530100,BUS100 CAREER PLANNING,1,2,0(1-0),2.0,CB
2587001,Ali Doğan,3550140,CNG140 C PROGRAMMING,1,2,4(3-2),4.0,CB
2587001,Ali Doğan,3580106,PHY106 GENERAL PHYSICS II,1,2,4(3-2),6.5,BB
2587001,Ali Doğan,3550213,CNG213 DATA STRUCTURES,2,3,4(3-2),6.0,BB
2587001,Ali Doğan,3610101,TUR101 TURKISH I,2,3,0(2-0),2.0,CC
2587001,Ali Doğan,3560281,EEE281 ELECTRICAL CIRCUITS,2,3,4(3-2),6.0,BA
2587001,Ali Doğan,3570219,MAT219 INTRODUCTION TO DIFFERENTIAL EQUATIONS,2,3,4(4-0),7.0,CC
2587001,Ali Doğan,3590211,ENGL211 ACADEMIC ORAL PRESENTATION SKILLS,2,3,3(3-0),4.0,DC
2587001,Ali Doğan,3550242,CNG242 PROGRAMMING LANGUAGE CONCEPTS,2,4,4(3-2),7.0,DC
2587001,Ali Doğan,3550280,CNG280 FORMAL LANGUAGES AND ABSTRACT MACHINES,2,4,3(3-0),6.0,CC
2587001,Ali Doğan,3550232,CNG232 LOGIC DESIGN,2,4,4(3-2),7.0,CB
2587001,Ali Doğan,3630221,STAS221 STATISTICS FOR ENGINEERS I,2,4,3(3-0),5.0,BA
2587001,Ali Doğan,3610102,TUR102 TURKISH II,2,4,0(2-0),2.0,BA
2587001,Ali Doğan,3620201,HST201,3,5,0(2-0),2.0,CC
2587001,Ali Doğan,3870301,OCHS301 OCCUPATIONAL HEALTH AND SAFETY - II,3,5,0(0-0),2.0,DD
2587001,Ali Doğan,3550315,CNG315 ALGORITHMS,3,5,3(3-0),6.0,DC
2587001,Ali Doğan,3590311,ENGL311 ADVANCED COMMUNICATION SKILLS,3,5,3(3-0),4.0,AA
2587001,Ali Doğan,3550300,CNG300 SUMMER PRACTICE I,3,5,0(0-0),2.0,CC
2587001,Ali Doğan,3550336,CNG336 INTRODUCTION TO EMBEDDED SYSTEMS DEVELOPMENT,3,6,4(3-2),5.5,BA
2587001,Ali Doğan,3550336,CNG336 INTRODUCTION TO EMBEDDED SYSTEMS DEVELOPMENT,3,6,4(3-2),5.5,DD
2587001,Ali Doğan,3620202,HST202,3,6,0(2-0),2.0,DC
2587001,Ali Doğan,3550384,CNG384 SIGNALS AND SYSTEMS FOR COMPUTER ENGINEERS,3,6,3(3-0),5.0,CC
2587001,Ali Doğan,3550334,CNG334 INTRODUCTION TO OPERATING SYSTEMS,3,6,3(3-0),5.5,DD
2587001,Ali Doğan,3550435,CNG435 DATA COMMUNICATIONS AND COMPUTER NETWORKING,4,7,3(3-0),6.0,CB
2587001,Ali Doğan,3550491,CNG491 COMPUTER ENGINEERING DESIGN I,4,7,3(2-2),7.0,DC
2587001,Ali Doğan,3550400,CNG400 SUMMER PRACTICE II,4,7,0(0-0),2.0,AA
2587001,Ali Doğan,3550492,CNG492 COMPUTER ENGINEERING DESIGN II,4,8,3(1-4),7.0,CC
2587002,Fatma Demir,3580105,PHY105 GENERAL PHYSICS I,1,1,4(3-2),6.5,CC
2587002,Fatma Demir,3590101,ENGL101 DEVELOPMENT OF READING AND WRITING SKILLS I,1,1,4(4-0),6.0,BA
2587002,Fatma Demir,3550111,CNG111 INTRODUCTION TO COMPUTER ENG. CONCEPTS,1,1,4(3-2),4.0,DC
2587002,Fatma Demir,3570119,MAT119 CALCULUS WITH ANALYTIC GEOMETRY,1,1,5(4-2),7.5,DC
2587002,Fatma Demir,3550100,CNG100 INTRODUCTION TO INFORMATION TECH. AND APPLICATIONS,1,1,0(2-0),1.0,BB
2587002,Fatma Demir,3870101,OCHS101 OCCUPATIONAL HEALTH AND SAFETY-I,1,2,0(0-0),2.0,BB
2587002,Fatma Demir,3570260,MAT260 BASIC LINEAR ALGEBRA,1,2,3(3-0),5.0,CC
2587002,Fatma Demir,3550140,CNG140 C PROGRAMMING,1,2,4(3-2),4.0,CB
2587002,Fatma Demir,3530100,BUS100 CAREER PLANNING,1,2,0(1-0),2.0,CC
2587002,Fatma Demir,3580106,PHY106 GENERAL PHYSICS II,1,2,4(3-2),6.5,DD
2587002,Fatma Demir,3550213,CNG213 DATA STRUCTURES,2,3,4(3-2),6.0,AA
2587002,Fatma Demir,3570219,MAT219 INTRODUCTION TO DIFFERENTIAL EQUATIONS,2,3,4(4-0),7.0,DC
2587002,Fatma Demir,3550223,CNG223 DISCRETE COMPUTATIONAL STRUCTURES,2,3,3(3-0),6.0,BB
2587002,Fatma Demir,3590211,ENGL211 ACADEMIC ORAL PRESENTATION SKILLS,2,3,3(3-0),4.0,AA
2587002,Fatma Demir,3610101,TUR101 TURKISH I,2,3,0(2-0),2.0,DC
2587002,Fatma Demir,3630221,STAS221 STATISTICS FOR ENGINEERS I,2,4,3(3-0),5.0,CB
2587002,Fatma Demir,3610102,TUR102 TURKISH II,2,4,0(2-0),2.0,CC
2587002,Fatma Demir,3550242,CNG242 PROGRAMMING LANGUAGE CONCEPTS,2,4,4(3-2),7.0,CB
2587002,Fatma Demir,3550232,CNG232 LOGIC DESIGN,2,4,4(3-2),7.0,CC
2587002,Fatma Demir,3550280,CNG280 FORMAL LANGUAGES AND ABSTRACT MACHINES,2,4,3(3-0),6.0,CC
2587002,Fatma Demir,3620201,HST201,3,5,0(2-0),2.0,BA
2587002,Fatma Demir,3550331,CNG331 COMPUTER ORGANIZATION,3,5,3(3-0),6.0,CB
2587002,Fatma Demir,3550351,CNG351 DATA MANAGEMENT AND FILE STRUCTURES,3,5,3(3-0),6.0,CB
2587002,Fatma Demir,3550315,CNG315 ALGORITHMS,3,5,3(3-0),6.0,DC
2587002,Fatma Demir,3590311,ENGL311 ADVANCED COMMUNICATION SKILLS,3,5,3(3-0),4.0,DD
2587002,Fatma Demir,3550334,CNG334 INTRODUCTION TO OPERATING SYSTEMS,3,6,3(3-0),5.5,DD
2587002,Fatma Demir,3550350,CNG350 SOFTWARE ENGINEERING,3,6,3(3-0),5.5,AA
2587002,Fatma Demir,3550384,CNG384 SIGNALS AND SYSTEMS FOR COMPUTER ENGINEERS,3,6,3(3-0),5.0,DC
2587002,Fatma Demir,3620202,HST202,3,6,0(2-0),2.0,AA
2587002,Fatma Demir,3550336,CNG336 INTRODUCTION TO EMBEDDED SYSTEMS DEVELOPMENT,3,6,4(3-2),5.5,BB
2587002,Fatma Demir,3550435,CNG435 DATA COMMUNICATIONS AND COMPUTER NETWORKING,4,7,3(3-0),6.0,CC
2587002,Fatma Demir,3550400,CNG400 SUMMER PRACTICE II,4,7,0(0-0),2.0,AA
2587002,Fatma Demir,3550491,CNG491 COMPUTER ENGINEERING DESIGN I,4,7,3(2-2),7.0,CC
2587002,Fatma Demir,3550492,CNG492 COMPUTER ENGINEERING DESIGN II,4,8,3(1-4),7.0,CB
2587003,Buse Aksoy,3550100,CNG100 INTRODUCTION TO INFORMATION TECH. AND APPLICATIONS,1,1,0(2-0),1.0,CB
2587003,Buse Aksoy,3570119,MAT119 CALCULUS WITH ANALYTIC GEOMETRY,1,1,5(4-2),7.5,DC
2587003,Buse Aksoy,3550101,CNG101 COMPUTER ENGINEERING ORIENTATION,1,1,0(2-0),1.0,CB
2587003,Buse Aksoy,3600107,CHM107 GENERAL CHEMISTRY,1,1,4(3-2),6.0,CB
2587003,Buse Aksoy,3590101,ENGL101 DEVELOPMENT OF READING AND WRITING SKILLS I,1,1,4(4-0),6.0,AA
2587003,Buse Aksoy,3580106,PHY106 GENERAL PHYSICS II,1,2,4(3-2),6.5,CC
2587003,Buse Aksoy,3570260,MAT260 BASIC LINEAR ALGEBRA,1,2,3(3-0),5.0,BB
2587003,Buse Aksoy,3530100,BUS100 CAREER PLANNING,1,2,0(1-0),2.0,CC
2587003,Buse Aksoy,3590102,ENGL102 DEVELOPMENT OF READING AND WRITING SKILLS II,1,2,4(4-0),6.0,DD
2587003,Buse Aksoy,3870101,OCHS101 OCCUPATIONAL HEALTH AND SAFETY-I,1,2,0(0-0),2.0,AA
2587003,Buse Aksoy,3610101,TUR101 TURKISH I,2,3,0(2-0),2.0,AA
2587003,Buse Aksoy,3550213,CNG213 DATA STRUCTURES,2,3,4(3-2),6.0,AA
2587003,Buse Aksoy,3560281,EEE281 ELECTRICAL CIRCUITS,2,3,4(3-2),6.0,AA
2587003,Buse Aksoy,3590211,ENGL211 ACADEMIC ORAL PRESENTATION SKILLS,2,3,3(3-0),4.0,BA
2587003,Buse Aksoy,3570219,MAT219 INTRODUCTION TO DIFFERENTIAL EQUATIONS,2,3,4(4-0),7.0,BB
2587003,Buse Aksoy,3550232,CNG232 LOGIC DESIGN,2,4,4(3-2),7.0,BB
2587003,Buse Aksoy,3610102,TUR102 TURKISH II,2,4,0(2-0),2.0,BB
2587003,Buse Aksoy,3550280,CNG280 FORMAL LANGUAGES AND ABSTRACT MACHINES,2,4,3(3-0),6.0,BB
2587003,Buse Aksoy,3550242,CNG242 PROGRAMMING LANGUAGE CONCEPTS,2,4,4(3-2),7.0,BA
2587003,Buse Aksoy,3630221,STAS221 STATISTICS FOR ENGINEERS I,2,4,3(3-0),5.0,BB
2587003,Buse Aksoy,3550351,CNG351 DATA MANAGEMENT AND FILE STRUCTURES,3,5,3(3-0),6.0,BA
2587003,Buse Aksoy,3550300,CNG300 SUMMER PRACTICE I,3,5,0(0-0),2.0,BA
2587003,Buse Aksoy,3550331,CNG331 COMPUTER ORGANIZATION,3,5,3(3-0),6.0,DC
2587003,Buse Aksoy,3550315,CNG315 ALGORITHMS,3,5,3(3-0),6.0,BB
2587003,Buse Aksoy,3870301,OCHS301 OCCUPATIONAL HEALTH AND SAFETY - II,3,5,0(0-0),2.0,CC
2587003,Buse Aksoy,3550334,CNG334 INTRODUCTION TO OPERATING SYSTEMS,3,6,3(3-0),5.5,DC
2587003,Buse Aksoy,3550384,CNG384 SIGNALS AND SYSTEMS FOR COMPUTER ENGINEERS,3,6,3(3-0),5.0,BB
2587003,Buse Aksoy,3620202,HST202,3,6,0(2-0),2.0,CB
2587003,Buse Aksoy,3550350,CNG350 SOFTWARE ENGINEERING,3,6,3(3-0),5.5,CC
2587003,Buse Aksoy,3550336,CNG336 INTRODUCTION TO EMBEDDED SYSTEMS DEVELOPMENT,3,6,4(3-2),5.5,BA
2587003,Buse Aksoy,3550435,CNG435 DATA COMMUNICATIONS AND COMPUTER NETWORKING,4,7,3(3-0),6.0,BA
2587003,Buse Aksoy,3550400,CNG400 SUMMER PRACTICE II,4,7,0(0-0),2.0,DC
2587003,Buse Aksoy,3550491,CNG491 COMPUTER ENGINEERING DESIGN I,4,7,3(2-2),7.0,CC
2587003,Buse Aksoy,3550492,CNG492 COMPUTER ENGINEERING DESIGN II,4,8,3(1-4),7.0,DC
2587004,Yusuf Şahin,3550100,CNG100 INTRODUCTION TO INFORMATION TECH. AND APPLICATIONS,1,1,0(2-0),1.0,CC
2587004,Yusuf Şahin,3600107,CHM107 GENERAL CHEMISTRY,1,1,4(3-2),6.0,CB
2587004,Yusuf Şahin,3580105,PHY105 GENERAL PHYSICS I,1,1,4(3-2),6.5,CC
2587004,Yusuf Şahin,3590101,ENGL101 DEVELOPMENT OF READING AND WRITING SKILLS I,1,1,4(4-0),6.0,CC
2587004,Yusuf Şahin,3570119,MAT119 CALCULUS WITH ANALYTIC GEOMETRY,1,1,5(4-2),7.5,CB
2587004,Yusuf Şahin,3580106,PHY106 GENERAL PHYSICS II,1,2,4(3-2),6.5,BA
2587004,Yusuf Şahin,3590102,ENGL102 DEVELOPMENT OF READING AND WRITING SKILLS II,1,2,4(4-0),6.0,AA
2587004,Yusuf Şahin,3530100,BUS100 CAREER PLANNING,1,2,0(1-0),2.0,BA
2587004,Yusuf Şahin,3570120,MAT120 CALCULUS FOR FUNCTIONS OF SEVERAL VARIABLES,1,2,5(4-2),7.5,BB
2587004,Yusuf Şahin,3550140,CNG140 C PROGRAMMING,1,2,4(3-2),4.0,BA
2587004,Yusuf Şahin,3590211,ENGL211 ACADEMIC ORAL PRESENTATION SKILLS,2,3,3(3-0),4.0,DD
2587004,Yusuf Şahin,3560281,EEE281 ELECTRICAL CIRCUITS,2,3,4(3-2),6.0,AA
2587004,Yusuf Şahin,3550213,CNG213 DATA STRUCTURES,2,3,4(3-2),6.0,DD
2587004,Yusuf Şahin,3570219,MAT219 INTRODUCTION TO DIFFERENTIAL EQUATIONS,2,3,4(4-0),7.0,DD
2587004,Yusuf Şahin,3610101,TUR101 TURKISH I,2,3,0(2-0),2.0,AA
2587004,Yusuf Şahin,3550280,CNG280 FORMAL LANGUAGES AND ABSTRACT MACHINES,2,4,3(3-0),6.0,AA
2587004,Yusuf Şahin,3550242,CNG242 PROGRAMMING LANGUAGE CONCEPTS,2,4,4(3-2),7.0,DD
2587004,Yusuf Şahin,3610102,TUR102 TURKISH II,2,4,0(2-0),2.0,AA
2587004,Yusuf Şahin,3630221,STAS221 STATISTICS FOR ENGINEERS I,2,4,3(3-0),5.0,BB
2587004,Yusuf Şahin,3550232,CNG232 LOGIC DESIGN,2,4,4(3-2),7.0,DC
2587004,Yusuf Şahin,3590311,ENGL311 ADVANCED COMMUNICATION SKILLS,3,5,3(3-0),4.0,AA
2587004,Yusuf Şahin,3550300,CNG300 SUMMER PRACTICE I,3,5,0(0-0),2.0,DD
2587004,Yusuf Şahin,3870301,OCHS301 OCCUPATIONAL HEALTH AND SAFETY - II,3,5,0(0-0),2.0,CB
2587004,Yusuf Şahin,3550351,CNG351 DATA MANAGEMENT AND FILE STRUCTURES,3,5,3(3-0),6.0,DD
2587004,Yusuf Şahin,3620201,HST201,3,5,0(2-0),2.0,CC
2587004,Yusuf Şahin,3550334,CNG334 INTRODUCTION TO OPERATING SYSTEMS,3,6,3(3-0),5.5,BB
2587004,Yusuf Şahin,3620202,HST202,3,6,0(2-0),2.0,BB
2587004,Yusuf Şahin,3550384,CNG384 SIGNALS AND SYSTEMS FOR COMPUTER ENGINEERS,3,6,3(3-0),5.0,CC
2587004,Yusuf Şahin,3550350,CNG350 SOFTWARE ENGINEERING,3,6,3(3-0),5.5,AA
2587004,Yusuf Şahin,3550336,CNG336 INTRODUCTION TO EMBEDDED SYSTEMS DEVELOPMENT,3,6,4(3-2),5.5,DC
2587004,Yusuf Şahin,3550400,CNG400 SUMMER PRACTICE II,4,7,0(0-0),2.0,BA
2587004,Yusuf Şahin,3550491,CNG491 COMPUTER ENGINEERING DESIGN I,4,7,3(2-2),7.0,DD
2587004,Yusuf Şahin,3550435,CNG435 DATA COMMUNICATIONS AND COMPUTER NETWORKING,4,7,3(3-0),6.0,BB
2587004,Yusuf Şahin,3550492,CNG492 COMPUTER ENGINEERING DESIGN II,4,8,3(1-4),7.0,CB
2587005,Elif Güneş,3550101,CNG101 COMPUTER ENGINEERING ORIENTATION,1,1,0(2-0),1.0,DC
2587005,Elif Güneş,3550100,CNG100 INTRODUCTION TO INFORMATION TECH. AND APPLICATIONS,1,1,0(2-0),1.0,CB
2587005,Elif Güneş,3600107,CHM107 GENERAL CHEMISTRY,1,1,4(3-2),6.0,DC
2587005,Elif Güneş,3570119,MAT119 CALCULUS WITH ANALYTIC GEOMETRY,1,1,5(4-2),7.5,BA
2587005,Elif Güneş,3550111,CNG111 INTRODUCTION TO COMPUTER ENG. CONCEPTS,1,1,4(3-2),4.0,AA
2587005,Elif Güneş,3580106,PHY106 GENERAL PHYSICS II,1,2,4(3-2),6.5,DC
2587005,Elif Güneş,3590102,ENGL102 DEVELOPMENT OF READING AND WRITING SKILLS II,1,2,4(4-0),6.0,BB
2587005,Elif Güneş,3570260,MAT260 BASIC LINEAR ALGEBRA,1,2,3(3-0),5.0,AA
2587005,Elif Güneş,3870101,OCHS101 OCCUPATIONAL HEALTH AND SAFETY-I,1,2,0(0-0),2.0,DD
2587005,Elif Güneş,3550140,CNG140 C PROGRAMMING,1,2,4(3-2),4.0,DD
2587005,Elif Güneş,3550223,CNG223 DISCRETE COMPUTATIONAL STRUCTURES,2,3,3(3-0),6.0,AA
2587005,Elif Güneş,3610101,TUR101 TURKISH I,2,3,0(2-0),2.0,AA
2587005,Elif Güneş,3570219,MAT219 INTRODUCTION TO DIFFERENTIAL EQUATIONS,2,3,4(4-0),7.0,BB
2587005,Elif Güneş,3550213,CNG213 DATA STRUCTURES,2,3,4(3-2),6.0,CB
2587005,Elif Güneş,3560281,EEE281 ELECTRICAL CIRCUITS,2,3,4(3-2),6.0,CC
2587005,Elif Güneş,3610102,TUR102 TURKISH II,2,4,0(2-0),2.0,DC
2587005,Elif Güneş,3630221,STAS221 STATISTICS FOR ENGINEERS I,2,4,3(3-0),5.0,BB
2587005,Elif Güneş,3550280,CNG280 FORMAL LANGUAGES AND ABSTRACT MACHINES,2,4,3(3-0),6.0,CC
2587005,Elif Güneş,3550242,CNG242 PROGRAMMING LANGUAGE CONCEPTS,2,4,4(3-2),7.0,AA
2587005,Elif Güneş,3550232,CNG232 LOGIC DESIGN,2,4,4(3-2),7.0,BA
2587005,Elif Güneş,3590311,ENGL311 ADVANCED COMMUNICATION SKILLS,3,5,3(3-0),4.0,AA
2587005,Elif Güneş,3620201,HST201,3,5,0(2-0),2.0,DD
2587005,Elif Güneş,3550300,CNG300 SUMMER PRACTICE I,3,5,0(0-0),2.0,BB
2587005,Elif Güneş,3550315,CNG315 ALGORITHMS,3,5,3(3-0),6.0,BA
2587005,Elif Güneş,3550331,CNG331 COMPUTER ORGANIZATION,3,5,3(3-0),6.0,DD
2587005,Elif Güneş,3550350,CNG350 SOFTWARE ENGINEERING,3,6,3(3-0),5.5,DD
2587005,Elif Güneş,3620202,HST202,3,6,0(2-0),2.0,AA
2587005,Elif Güneş,3550334,CNG334 INTRODUCTION TO OPERATING SYSTEMS,3,6,3(3-0),5.5,DD
2587005,Elif Güneş,3550384,CNG384 SIGNALS AND SYSTEMS FOR COMPUTER ENGINEERS,3,6,3(3-0),5.0,BA
2587005,Elif Güneş,3550336,CNG336 INTRODUCTION TO EMBEDDED SYSTEMS DEVELOPMENT,3,6,4(3-2),5.5,DC
2587005,Elif Güneş,3550435,CNG435 DATA COMMUNICATIONS AND COMPUTER NETWORKING,4,7,3(3-0),6.0,DC
2587005,Elif Güneş,3550491,CNG491 COMPUTER ENGINEERING DESIGN I,4,7,3(2-2),7.0,BA
2587005,Elif Güneş,3550400,CNG400 SUMMER PRACTICE II,4,7,0(0-0),2.0,BA
2587005,Elif Güneş,3550492,CNG492 COMPUTER ENGINEERING DESIGN II,4,8,3(1-4),7.0,CB
2587006,Efe Doğan,3550101,CNG101 COMPUTER ENGINEERING ORIENTATION,1,1,0(2-0),1.0,CB
2587006,Efe Doğan,3550111,CNG111 INTRODUCTION TO COMPUTER ENG. CONCEPTS,1,1,4(3-2),4.0,DD
2587006,Efe Doğan,3580105,PHY105 GENERAL PHYSICS I,1,1,4(3-2),6.5,DC
2587006,Efe Doğan,3550100,CNG100 INTRODUCTION TO INFORMATION TECH. AND APPLICATIONS,1,1,0(2-0),1.0,BB
2587006,Efe Doğan,3600107,CHM107 GENERAL CHEMISTRY,1,1,4(3-2),6.0,AA
2587006,Efe Doğan,3570260,MAT260 BASIC LINEAR ALGEBRA,1,2,3(3-0),5.0,AA
2587006,Efe Doğan,3870101,OCHS101 OCCUPATIONAL HEALTH AND SAFETY-I,1,2,0(0-0),2.0,BA
2587006,Efe Doğan,3530100,BUS100 CAREER PLANNING,1,2,0(1-0),2.0,CB
2587006,Efe Doğan,3550140,CNG140 C PROGRAMMING,1,2,4(3-2),4.0,BA
2587006,Efe Doğan,3590102,ENGL102 DEVELOPMENT OF READING AND WRITING SKILLS II,1,2,4(4-0),6.0,CC
2587006,Efe Doğan,3590211,ENGL211 ACADEMIC ORAL PRESENTATION SKILLS,2,3,3(3-0),4.0,BA
2587006,Efe Doğan,3560281,EEE281 ELECTRICAL CIRCUITS,2,3,4(3-2),6.0,BB
2587006,Efe Doğan,3570219,MAT219 INTRODUCTION TO DIFFERENTIAL EQUATIONS,2,3,4(4-0),7.0,BB
2587006,Efe Doğan,3610101,TUR101 TURKISH I,2,3,0(2-0),2.0,BA
2587006,Efe Doğan,3550223,CNG223 DISCRETE COMPUTATIONAL STRUCTURES,2,3,3(3-0),6.0,BA
2587006,Efe Doğan,3550242,CNG242 PROGRAMMING LANGUAGE CONCEPTS,2,4,4(3-2),7.0,DD
2587006,Efe Doğan,3630221,STAS221 STATISTICS FOR ENGINEERS I,2,4,3(3-0),5.0,CC
2587006,Efe Doğan,3550280,CNG280 FORMAL LANGUAGES AND ABSTRACT MACHINES,2,4,3(3-0),6.0,CB
2587006,Efe Doğan,3550232,CNG232 LOGIC DESIGN,2,4,4(3-2),7.0,BB
2587006,Efe Doğan,3610102,TUR102 TURKISH II,2,4,0(2-0),2.0,DD
2587006,Efe Doğan,3550315,CNG315 ALGORITHMS,3,5,3(3-0),6.0,DC
2587006,Efe Doğan,3870301,OCHS301 OCCUPATIONAL HEALTH AND SAFETY - II,3,5,0(0-0),2.0,BB
2587006,Efe Doğan,3550300,CNG300 SUMMER PRACTICE I,3,5,0(0-0),2.0,BB
2587006,Efe Doğan,3590311,ENGL311 ADVANCED COMMUNICATION SKILLS,3,5,3(3-0),4.0,AA
2587006,Efe Doğan,3620201,HST201,3,5,0(2-0),2.0,DD
2587006,Efe Doğan,3550334,CNG334 INTRODUCTION TO OPERATING SYSTEMS,3,6,3(3-0),5.5,CB
2587006,Efe Doğan,3550350,CNG350 SOFTWARE ENGINEERING,3,6,3(3-0),5.5,BA
2587006,Efe Doğan,3550336,CNG336 INTRODUCTION TO EMBEDDED SYSTEMS DEVELOPMENT,3,6,4(3-2),5.5,AA
2587006,Efe Doğan,3620202,HST202,3,6,0(2-0),2.0,CC
2587006,Efe Doğan,3550384,CNG384 SIGNALS AND SYSTEMS FOR COMPUTER ENGINEERS,3,6,3(3-0),5.0,CB
2587006,Efe Doğan,3550435,CNG435 DATA COMMUNICATIONS AND COMPUTER NETWORKING,4,7,3(3-0),6.0,DC
2587006,Efe Doğan,3550491,CNG491 COMPUTER ENGINEERING DESIGN I,4,7,3(2-2),7.0,CC
2587006,Efe Doğan,3550400,CNG400 SUMMER PRACTICE II,4,7,0(0-0),2.0,CB
2587006,Efe Doğan,3550492,CNG492 COMPUTER ENGINEERING DESIGN II,4,8,3(1-4),7.0,DD
2587007,Melis Erdoğan,3570119,MAT119 CALCULUS WITH ANALYTIC GEOMETRY,1,1,5(4-2),7.5,AA
2587007,Melis Erdoğan,3550111,CNG111 INTRODUCTION TO COMPUTER ENG. CONCEPTS,1,1,4(3-2),4.0,AA
2587007,Melis Erdoğan,3550111,CNG111 INTRODUCTION TO COMPUTER ENG. CONCEPTS,1,1,4(3-2),4.0,CC
2587007,Melis Erdoğan,3580105,PHY105 GENERAL PHYSICS I,1,1,4(3-2),6.5,BA
